Status|AssignedSize|Type|IssueNumber|Title|Repository|Comments|LabelString|closingIssuesReferences|OG Queue|Closed|ClosedAt|RUNLABEL|LabelsCount|Size: 3|Feature: API|User Role: API User|NIH OTA: 1.7.1 (reArchitecture)|Size: 33|NIH OTA: 1.2.1|Size: 80|D: 5 Core PIDs|QDR|Feature: Metadata|Type: Bug|Feature: Style Guide|User Role: Superuser|Feature: Controlled Vocabulary|Hackathon: JSF|Size: SprintTail|Feature: External Tool|Feature: User Guide|JHU|Size: 10|DANS|NIH OTA: 1.4.1|User Role: Sysadmin|Feature: File Upload & Handling|Feature: Code Infrastructure|Feature: Installation Guide|Containers & Cloud|Tech Debt|D: SonarQubeCleanup|Type: Feature|Sprint Retrospective|DataverseNO|Feature: Account & User Info|NIH: NetCDF|Working Group: SWC|HERMES|NIH OTA: 1.3.1|Feature: Developer Guide|Feature: Indexing|Feature: Harvesting|Testing: API|D: FixRateLimitingBehaviors|pm.Sonia|UI/UX: Design|D: Payara 6 Upgrade|Dataset: large number of files|ASU|NIH OTA DC|pm.epic.nih_harvesting|Feature: Search/Browse|Type: Suggestion|User Role: Hackathon Participant|NIH OTA: 1.5.1|Feature: Request Access Workflow|Feature: API Guide|Size: NoSprintCost|ops: User Accounts|Support|Support: prod. data corruption|postmortem|bklog: Deliverable|Feature: Installer|Size: Queued|NIH OTA: 1.1.1|Feature: Admin Guide|Feature: Geospatial|bug|enhancement|Status: UX & UI|Feature: Publishing & Versions|Feature: DOI & Handle|hdc|3a|Feature: Terms & Licensing|Feature: Accessibility|bklog: NeedsDiscussion|Feature: Internationalization|pm.epic.nih_harvesting_framework|Feature: Permissions|Feature: Metrics + Reports|Hackathon: More APIs|User Role: Curator|User Role: Depositor|Feature: Performance & Stability|MVP Milestone 1|D: Infra & Deployment Setup|MVP Milestone 2|D: Design System|dependencies|DevOps: Problem|D: NIH: OTA|D: GDC: Interop With DV|D: Dev|NIH OTA: 1.3.2|D: DataverseInDocker|spike|
'Clear of the Backlog'|3|'PULL_REQUEST'|9193|'IQSS/9189-fix non-Globus properties'|'dataverse'||'Size: 3'|'9189'|'Clear of the Backlog'|True|'2023-01-30T19:07:04Z'|20230314-084042|1|1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|3|'ISSUE'|208|'Add Binder button for operating on datasets with Jupyter notebooks, Python, R, etc.'|'dataverse.harvard.edu'||'Size: 3'||'Clear of the Backlog'|True|'2023-01-30T16:11:04Z'|20230314-084042|1|1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|33|'ISSUE'|9293|'New filter-based design for the API authentication mechanisms'|'dataverse'||'Feature: API','User Role: API User','NIH OTA: 1.7.1 (reArchitecture)','Size: 33'||'Clear of the Backlog'|True|'2023-02-22T15:14:06Z'|20230314-084042|4||1|1|1|1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|80|'ISSUE'|9150|'Create a javascript for the frontend that supports Fundref'|'dataverse'||'NIH OTA: 1.2.1','Size: 80','D: 5 Core PIDs'||'Clear of the Backlog'|False|'None'|20230314-084042|3||||||1|1|1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|3|'PULL_REQUEST'|9086|'Iqss/7349 2 improve related pub citation entry'|'dataverse'||'QDR','Size: 3'|'7349'|'Clear of the Backlog'|True|'2023-01-30T19:40:09Z'|20230314-084042|2|1||||||||1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|80|'ISSUE'|9151|'Get the existing ROR plug-in working on the dataverse demo'|'dataverse'||'NIH OTA: 1.2.1','Size: 80','D: 5 Core PIDs'||'Clear of the Backlog'|False|'None'|20230314-084042|3||||||1|1|1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|3|'PULL_REQUEST'|9101|'IQSS/7349-5 - Use brand name for catalog'|'dataverse'||'QDR','Size: 3'|'7349'|'Clear of the Backlog'|True|'2023-01-30T18:37:14Z'|20230314-084042|2|1||||||||1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|3|'ISSUE'|8975|'File level metadata: File level metadata tags should wrap and not run off the page'|'dataverse'||'Feature: Metadata','Type: Bug','Feature: Style Guide','User Role: Superuser','Feature: Controlled Vocabulary','Hackathon: JSF','Size: 3'||'Clear of the Backlog'|True|'2023-01-31T18:27:25Z'|20230314-084042|7|1|||||||||1|1|1|1|1|1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|3|'PULL_REQUEST'|9087|'IQSS/7349-3 file updates for schema.org'|'dataverse'||'QDR','Size: 3'|'7349'|'Clear of the Backlog'|True|'2023-01-30T19:52:10Z'|20230314-084042|2|1||||||||1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|SprintTail|'PULL_REQUEST'|9132|'Dataset files cleanup'|'dataverse'||'Size: SprintTail'|'9130'|'Clear of the Backlog'|True|'2023-01-27T21:02:15Z'|20230314-084042|1||||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|3|'PULL_REQUEST'|9212|'#9211 fix render logic display with TOA OR restricted files'|'dataverse'||'Size: 3'|'9211'|'Clear of the Backlog'|True|'2023-01-31T19:27:31Z'|20230314-084042|1|1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|3|'ISSUE'|9325|'Description metadata field: Description field text should wrap and not run off the page'|'dataverse'||'Size: 3'||'Clear of the Backlog'|True|'2023-02-14T18:33:31Z'|20230314-084042|1|1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|3|'PULL_REQUEST'|9085|'Iqss/7349 1 truncate description'|'dataverse'||'QDR','Size: 3'|'7349'|'Clear of the Backlog'|True|'2023-01-30T20:38:16Z'|20230314-084042|2|1||||||||1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|3|'ISSUE'|6807|'Explore button for Binder'|'dataverse'||'Feature: External Tool','Size: 3'||'Clear of the Backlog'|True|'2023-01-31T19:20:02Z'|20230314-084042|2|1||||||||||||||||1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|3|'PULL_REQUEST'|9249|'DOCS: add link to development documentation build'|'dataverse'||'Feature: User Guide','Size: 3'||'Clear of the Backlog'|True|'2023-01-30T19:18:15Z'|20230314-084042|2|1|||||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|3|'PULL_REQUEST'|9254|'Make productionPlace multiple, facetable, and enabled for Advanced Search #9253'|'dataverse'||'Feature: Metadata','Size: 3'|'9253'|'Clear of the Backlog'|True|'2023-02-09T19:59:42Z'|20230314-084042|2|1|||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|10|'PULL_REQUEST'|9017|'GDCC/9016-handle no file PID case in metrics'|'dataverse'||'JHU','Size: 10'|'9016'|'Clear of the Backlog'|True|'2023-01-31T20:51:49Z'|20230314-084042|2|||||||||||||||||||1|1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|80|'PULL_REQUEST'|8674|'DANS/Local PermaLink PID Provider'|'dataverse'||'DANS','Size: 80'||'Clear of the Backlog'|False|'None'|20230314-084042|2|||||||1||||||||||||||1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|10|'PULL_REQUEST'|9316|'Fix for the broken "earliest date" (#9309)'|'dataverse'||'Size: 10'|'9309'|'Clear of the Backlog'|True|'2023-01-30T22:19:20Z'|20230314-084042|1||||||||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|80|'ISSUE'|9231|'Feature request: Add the ability to configure a Harvesting Client to add a custom header to OAI calls'|'dataverse'||'NIH OTA: 1.4.1','Size: 80'||'Clear of the Backlog'|True|'2023-01-26T20:17:32Z'|20230314-084042|2|||||||1|||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|SprintTail|'PULL_REQUEST'|9269|'8339 file data api'|'dataverse'||'Size: SprintTail'|'8339'|'Clear of the Backlog'|True|'2023-01-25T20:57:01Z'|20230314-084042|1||||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|10|'PULL_REQUEST'|9239|'extract metadata (NcML XML) from NetCDF/HDF5 files, new "requirements" option for external tools'|'dataverse'||'Size: 10'|'9153'|'Clear of the Backlog'|True|'2023-01-20T16:03:40Z'|20230314-084042|1||||||||||||||||||||1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|3|'PULL_REQUEST'|8915|'7980 enhanced dsd'|'dataverse'||'User Role: Sysadmin','Size: 3'|'7980'|'Clear of the Backlog'|True|'2023-01-24T18:25:11Z'|20230314-084042|2|1||||||||||||||||||||||1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|3|'PULL_REQUEST'|8827|'7000 mpconfig files basic'|'dataverse'||'Feature: File Upload & Handling','Feature: Code Infrastructure','Feature: Installation Guide','User Role: Sysadmin','Containers & Cloud','Size: 3'||'Clear of the Backlog'|True|'2023-01-18T22:19:29Z'|20230314-084042|6|1||||||||||||||||||||||1|1|1|1|1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|10|'PULL_REQUEST'|9105|'Add quotes around CVoc term URIs on advanced search page'|'dataverse'||'DANS','Size: 10'|'9104'|'Clear of the Backlog'|True|'2023-01-23T15:15:42Z'|20230314-084042|2||||||||||||||||||||1|1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|10|'PULL_REQUEST'|9122|'IQSS/9121 Fix for search display with ext. CVoc'|'dataverse'||'DANS','Size: 10'|'9121'|'Clear of the Backlog'|True|'2023-01-23T15:25:40Z'|20230314-084042|2||||||||||||||||||||1|1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
'Clear of the Backlog'|10|'PULL_REQUEST'|9129|'IQSS/9126- Fix workflow token access'|'dataverse'||'DANS','Size: 10'|'9126'|'Clear of the Backlog'|True|'2023-01-18T20:17:06Z'|20230314-084042|2||||||||||||||||||||1|1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
